# wavelength(um)    fp/fs
0.100007     4.43591000e-05
0.100040     4.31763000e-05
0.100074     4.43607000e-05
0.100107     4.44060000e-05
0.100140     4.43462000e-05
0.100174     4.42623000e-05
0.100207     4.00075000e-05
0.100241     4.42354000e-05
0.100274     4.41726000e-05
0.100307     4.38713000e-05
0.100341     4.37977000e-05
0.100374     4.42603000e-05
0.100408     4.44123000e-05
0.100441     4.43943000e-05
0.100475     4.42730000e-05
0.100508     4.40972000e-05
0.100542     4.42779000e-05
0.100575     4.39388000e-05
0.100609     4.38223000e-05
0.100642     3.79787000e-05
0.100676     4.39156000e-05
0.100709     4.32113000e-05
0.100743     4.41025000e-05
0.100777     4.42398000e-05
0.100810     4.37020000e-05
0.100844     1.80564000e-07
0.100877     4.37629000e-05
0.100911     4.43156000e-05
0.100945     4.43073000e-05
0.100978     4.43056000e-05
0.101012     4.43042000e-05
0.101046     4.28880000e-05
0.101079     4.42475000e-05
0.101113     4.43347000e-05
0.101147     4.43408000e-05
0.101180     4.43298000e-05
0.101214     4.42907000e-05
0.101248     4.30905000e-05
0.101282     4.41868000e-05
0.101315     4.41967000e-05
0.101349     4.38987000e-05
0.101383     3.84427000e-05
0.101417     4.37285000e-05
0.101451     4.40495000e-05
0.101484     4.37562000e-05
0.101518     4.41875000e-05
0.101552     4.42005000e-05
0.101586     4.41953000e-05
0.101620     4.41812000e-05
0.101654     4.41465000e-05
0.101688     4.33352000e-05
0.101721     4.40635000e-05
0.101755     4.38785000e-05
0.101789     4.17377000e-05
0.101823     3.22900000e-07
0.101857     4.36899000e-05
0.101891     4.37891000e-05
0.101925     4.37642000e-05
0.101959     3.93762000e-05
0.101993     4.32251000e-05
0.102027     4.35210000e-05
0.102061     4.33461000e-05
0.102095     4.32014000e-05
0.102129     4.29165000e-05
0.102163     4.24924000e-05
0.102197     4.17777000e-05
0.102231     4.03781000e-05
0.102265     3.67177000e-05
0.102299     8.23601000e-06
0.102333     3.48662000e-05
0.102368     3.97742000e-05
0.102402     4.10395000e-05
0.102436     4.10114000e-05
0.102470     4.27861000e-05
0.102504     4.29104000e-05
0.102538     4.32896000e-05
0.102573     4.11122000e-05
0.102607     4.30980000e-05
0.102641     4.34237000e-05
0.102675     4.30021000e-05
0.102709     4.30428000e-05
0.102744     3.54826000e-05
0.102778     4.32223000e-05
0.102812     4.36655000e-05
0.102846     4.34708000e-05
0.102881     4.25064000e-05
0.102915     4.38562000e-05
0.102949     4.38884000e-05
0.102984     4.38660000e-05
0.103018     3.54736000e-05
0.103052     4.38564000e-05
0.103087     3.75710000e-05
0.103121     4.35918000e-05
0.103155     4.33892000e-05
0.103190     4.27879000e-06
0.103224     4.36454000e-05
0.103258     4.34925000e-05
0.103293     4.30193000e-05
0.103327     4.27627000e-05
0.103362     4.36332000e-05
0.103396     3.61543000e-07
0.103431     1.77383000e-06
0.103465     4.28566000e-05
0.103500     4.09571000e-05
0.103534     1.02319000e-05
0.103569     4.16887000e-05
0.103603     4.21432000e-05
0.103638     4.05945000e-05
0.103672     3.66408000e-05
0.103707     3.60691000e-05
0.103741     3.19660000e-05
0.103776     4.06063000e-05
0.103811     5.08180000e-10
0.103845     4.24181000e-05
0.103880     4.30976000e-05
0.103914     4.29570000e-05
0.103949     2.69739000e-05
0.103984     4.07238000e-05
0.104018     4.33786000e-05
0.104053     4.26485000e-05
0.104088     3.98983000e-05
0.104122     4.06438000e-05
0.104157     4.31624000e-05
0.104192     4.35981000e-05
0.104227     4.36181000e-05
0.104261     4.17661000e-05
0.104296     4.29812000e-05
0.104331     4.36725000e-05
0.104366     4.32872000e-05
0.104400     3.86194000e-05
0.104435     4.36627000e-05
0.104470     4.37889000e-05
0.104505     4.37492000e-05
0.104540     4.38885000e-05
0.104575     4.39439000e-05
0.104609     4.39463000e-05
0.104644     4.39380000e-05
0.104679     4.16921000e-05
0.104714     4.38436000e-05
0.104749     4.34733000e-05
0.104784     4.01638000e-05
0.104819     4.36659000e-05
0.104854     1.13587000e-06
0.104889     4.33976000e-05
0.104924     4.38138000e-05
0.104959     4.34111000e-05
0.104994     4.36590000e-05
0.105029     4.17456000e-05
0.105064     4.37068000e-05
0.105099     3.86397000e-05
