# pressure(bar)    temperature(K)
 1.00000000e+02    2411.200
 8.96151000e+01    2339.980
 7.19686000e+01    2197.860
 5.77969000e+01    2100.300
 4.64159000e+01    2020.840
 3.72759000e+01    1956.290
 2.99358000e+01    1897.120
 2.40410000e+01    1843.780
 1.93070000e+01    1797.480
 1.55052000e+01    1755.720
 1.24520000e+01    1718.050
 1.00000000e+01    1685.630
 8.03086000e+00    1658.160
 6.44947000e+00    1634.850
 5.17947000e+00    1615.590
 4.15956000e+00    1599.790
 3.34048000e+00    1585.410
 2.68270000e+00    1571.140
 2.15443000e+00    1556.250
 1.73020000e+00    1539.700
 1.38950000e+00    1520.480
 1.11588000e+00    1498.630
 8.96151000e-01    1474.740
 7.19686000e-01    1447.910
 5.77969000e-01    1418.800
 4.64159000e-01    1389.060
 3.72759000e-01    1355.850
 2.99358000e-01    1318.680
 2.40410000e-01    1281.130
 1.93070000e-01    1247.450
 1.55052000e-01    1216.530
 1.24520000e-01    1188.010
 1.00000000e-01    1155.420
 8.03086000e-02    1119.150
 6.44947000e-02    1080.830
 5.17947000e-02    1044.780
 4.15956000e-02    1015.250
 3.34048000e-02     990.682
 2.68270000e-02     968.606
 2.15443000e-02     948.575
 1.73020000e-02     929.279
 1.38950000e-02     910.138
 1.11588000e-02     891.462
 8.96151000e-03     872.837
 7.19686000e-03     853.983
 5.77969000e-03     835.664
 4.64159000e-03     818.424
 3.72759000e-03     801.991
 2.99358000e-03     787.842
 2.40410000e-03     777.100
 1.93070000e-03     769.195
 1.55052000e-03     762.751
 1.24520000e-03     758.256
 1.00000000e-03     755.654
 8.03086000e-04     752.991
 6.44947000e-04     750.723
 5.17947000e-04     748.995
 4.15956000e-04     747.200
 3.34048000e-04     745.051
 2.68270000e-04     742.913
 2.15443000e-04     740.658
 1.73020000e-04     738.010
 1.38950000e-04     735.075
 1.11588000e-04     731.826
 8.96151000e-05     728.228
 7.19686000e-05     724.341
 5.77969000e-05     720.279
 4.64159000e-05     716.147
 3.72759000e-05     712.121
 2.99358000e-05     708.207
 2.40410000e-05     704.205
 1.93070000e-05     699.858
 1.55052000e-05     695.017
 1.24520000e-05     689.697
 1.00000000e-05     684.253
 8.03086000e-06     679.022
 6.44947000e-06     674.316
 5.17947000e-06     670.361
 4.15956000e-06     666.851
 3.34048000e-06     663.365
 2.68270000e-06     659.966
 2.15443000e-06     656.556
 1.73020000e-06     652.882
 1.38950000e-06     649.167
 1.11588000e-06     645.457
 8.96151000e-07     641.817
 7.19686000e-07     638.326
 5.77969000e-07     635.017
 4.64159000e-07     631.919
 3.72759000e-07     629.096
 2.99358000e-07     626.520
 2.40410000e-07     624.194
 1.93070000e-07     622.129
 1.55052000e-07     620.317
 1.24520000e-07     618.738
 1.00000000e-07     617.375
 8.03086000e-08     616.218
 6.44947000e-08     615.232
 5.17947000e-08     614.374
 4.15956000e-08     613.621
 3.34048000e-08     612.933
 2.68270000e-08     612.225
 2.15443000e-08     611.433
 1.73020000e-08     610.514
 1.38950000e-08     609.374
 1.11588000e-08     607.971
 8.96151000e-09     606.357
 7.19686000e-09     604.436
 5.77969000e-09     603.809
 4.64159000e-09     605.082
 3.72759000e-09     608.539
 2.99358000e-09     614.364
 2.40410000e-09     622.681
 1.93070000e-09     633.573
 1.55052000e-09     647.082
 1.24520000e-09     663.204
 1.00000000e-09     681.865
