# pressure(bar)    temperature(K)
 1.00000000e+02    3032.970
 8.96151000e+01    3032.970
 7.19686000e+01    3032.980
 5.77969000e+01    3032.980
 4.64159000e+01    3032.980
 3.72759000e+01    3032.990
 2.99358000e+01    3032.990
 2.40410000e+01    3032.990
 1.93070000e+01    3032.990
 1.55052000e+01    3032.990
 1.24520000e+01    3033.000
 1.00000000e+01    3033.000
 8.03086000e+00    3033.000
 6.44947000e+00    3033.000
 5.17947000e+00    3033.000
 4.15956000e+00    3033.000
 3.34048000e+00    3033.000
 2.68270000e+00    3033.000
 2.15443000e+00    3033.000
 1.73020000e+00    3033.000
 1.38950000e+00    3033.000
 1.11588000e+00    3033.000
 8.96151000e-01    3033.000
 7.19686000e-01    3033.000
 5.77969000e-01    3033.000
 4.64159000e-01    3033.000
 3.72759000e-01    3033.000
 2.99358000e-01    3033.010
 2.40410000e-01    3033.060
 1.93070000e-01    3033.240
 1.55052000e-01    3033.680
 1.24520000e-01    3034.420
 1.00000000e-01    3035.260
 8.03086000e-02    3035.650
 6.44947000e-02    3034.780
 5.17947000e-02    3031.790
 4.15956000e-02    3026.050
 3.34048000e-02    3017.100
 2.68270000e-02    3004.240
 2.15443000e-02    2987.480
 1.73020000e-02    2964.950
 1.38950000e-02    2929.870
 1.11588000e-02    2879.190
 8.96151000e-03    2829.990
 7.19686000e-03    2800.970
 5.77969000e-03    2795.080
 4.64159000e-03    2813.920
 3.72759000e-03    2858.240
 2.99358000e-03    2927.930
 2.40410000e-03    3021.300
 1.93070000e-03    3132.600
 1.55052000e-03    3228.550
 1.24520000e-03    3309.290
 1.00000000e-03    3377.740
 8.03086000e-04    3436.330
 6.44947000e-04    3492.100
 5.17947000e-04    3547.770
 4.15956000e-04    3599.890
 3.34048000e-04    3646.240
 2.68270000e-04    3689.660
 2.15443000e-04    3729.360
 1.73020000e-04    3763.350
 1.38950000e-04    3792.230
 1.11588000e-04    3815.560
 8.96151000e-05    3832.800
 7.19686000e-05    3844.180
 5.77969000e-05    3849.590
 4.64159000e-05    3849.970
 3.72759000e-05    3849.680
 2.99358000e-05    3853.270
 2.40410000e-05    3864.220
 1.93070000e-05    3883.080
 1.55052000e-05    3909.070
 1.24520000e-05    3940.040
 1.00000000e-05    3973.350
 8.03086000e-06    4001.340
 6.44947000e-06    4023.540
 5.17947000e-06    4041.180
 4.15956000e-06    4055.270
 3.34048000e-06    4068.340
 2.68270000e-06    4081.690
 2.15443000e-06    4093.800
 1.73020000e-06    4103.350
 1.38950000e-06    4110.330
 1.11588000e-06    4114.690
 8.96151000e-07    4116.960
 7.19686000e-07    4117.620
 5.77969000e-07    4116.670
 4.64159000e-07    4114.080
 3.72759000e-07    4110.080
 2.99358000e-07    4104.800
 2.40410000e-07    4098.540
 1.93070000e-07    4091.790
 1.55052000e-07    4084.960
 1.24520000e-07    4078.170
 1.00000000e-07    4071.600
 8.03086000e-08    4065.620
 6.44947000e-08    4060.110
 5.17947000e-08    4055.060
 4.15956000e-08    4050.610
 3.34048000e-08    4046.760
 2.68270000e-08    4043.370
 2.15443000e-08    4040.400
 1.73020000e-08    4037.720
 1.38950000e-08    4034.610
 1.11588000e-08    4029.640
 8.96151000e-09    4021.640
 7.19686000e-09    4010.060
 5.77969000e-09    3994.620
 4.64159000e-09    3975.180
 3.72759000e-09    3951.700
 2.99358000e-09    3924.220
 2.40410000e-09    3892.870
 1.93070000e-09    3857.880
 1.55052000e-09    3819.560
 1.24520000e-09    3778.340
 1.00000000e-09    3734.530
