# wavelength(um)    fp/fs
0.100007     2.08481000e-02
0.100040     1.60952000e-02
0.100074     7.01457000e-04
0.100107     7.13858000e-04
0.100140     9.88243000e-04
0.100174     6.94645000e-04
0.100207     6.89233000e-04
0.100241     7.35591000e-04
0.100274     1.34453000e-03
0.100307     7.00052000e-04
0.100341     6.95821000e-04
0.100374     6.98384000e-04
0.100408     6.93441000e-04
0.100441     6.93443000e-04
0.100475     8.37469000e-04
0.100508     1.86607000e-03
0.100542     1.42902000e-03
0.100575     7.69644000e-04
0.100609     6.93653000e-04
0.100642     6.91227000e-04
0.100676     6.92439000e-04
0.100709     8.10519000e-04
0.100743     2.13917000e-02
0.100777     6.92810000e-04
0.100810     6.92514000e-04
0.100844     1.20281000e-03
0.100877     6.94717000e-04
0.100911     6.94946000e-04
0.100945     6.98017000e-04
0.100978     6.01890000e-03
0.101012     6.94377000e-04
0.101046     6.96870000e-04
0.101079     6.91608000e-04
0.101113     7.88887000e-04
0.101147     7.03591000e-04
0.101180     6.98158000e-04
0.101214     7.14356000e-04
0.101248     3.97407000e-03
0.101282     8.29421000e-04
0.101315     6.90895000e-04
0.101349     2.08189000e-02
0.101383     8.14932000e-04
0.101417     2.89496000e-03
0.101451     6.96135000e-04
0.101484     7.11900000e-04
0.101518     7.00973000e-04
0.101552     2.14789000e-02
0.101586     6.94108000e-04
0.101620     9.21016000e-03
0.101654     6.90813000e-04
0.101688     6.93235000e-04
0.101721     1.02293000e-03
0.101755     9.12582000e-04
0.101789     7.08723000e-04
0.101823     1.53267000e-03
0.101857     6.91038000e-04
0.101891     7.24155000e-04
0.101925     7.70788000e-04
0.101959     7.04901000e-04
0.101993     6.98666000e-04
0.102027     7.26475000e-04
0.102061     7.88440000e-04
0.102095     6.91093000e-04
0.102129     6.99664000e-04
0.102163     7.27281000e-04
0.102197     6.88914000e-04
0.102231     6.92277000e-04
0.102265     6.89512000e-04
0.102299     8.55234000e-04
0.102333     6.94824000e-04
0.102368     1.11875000e-03
0.102402     6.88942000e-04
0.102436     7.18019000e-04
