# pressure(bar)    temperature(K)
 1.00000000e+02    2835.610
 8.96151000e+01    2835.610
 7.19686000e+01    2835.600
 5.77969000e+01    2835.600
 4.64159000e+01    2835.590
 3.72759000e+01    2835.590
 2.99358000e+01    2835.590
 2.40410000e+01    2835.580
 1.93070000e+01    2835.580
 1.55052000e+01    2835.580
 1.24520000e+01    2835.580
 1.00000000e+01    2835.580
 8.03086000e+00    2835.580
 6.44947000e+00    2835.580
 5.17947000e+00    2835.580
 4.15956000e+00    2835.580
 3.34048000e+00    2835.580
 2.68270000e+00    2835.580
 2.15443000e+00    2835.580
 1.73020000e+00    2835.580
 1.38950000e+00    2835.580
 1.11588000e+00    2835.580
 8.96151000e-01    2835.580
 7.19686000e-01    2835.580
 5.77969000e-01    2835.580
 4.64159000e-01    2835.580
 3.72759000e-01    2835.560
 2.99358000e-01    2835.500
 2.40410000e-01    2835.270
 1.93070000e-01    2834.630
 1.55052000e-01    2833.290
 1.24520000e-01    2831.020
 1.00000000e-01    2827.770
 8.03086000e-02    2823.690
 6.44947000e-02    2819.050
 5.17947000e-02    2814.300
 4.15956000e-02    2810.050
 3.34048000e-02    2807.290
 2.68270000e-02    2807.630
 2.15443000e-02    2814.560
 1.73020000e-02    2837.150
 1.38950000e-02    2880.400
 1.11588000e-02    2945.880
 8.96151000e-03    3030.940
 7.19686000e-03    3100.430
 5.77969000e-03    3152.540
 4.64159000e-03    3187.090
 3.72759000e-03    3206.210
 2.99358000e-03    3223.560
 2.40410000e-03    3243.420
 1.93070000e-03    3268.100
 1.55052000e-03    3300.890
 1.24520000e-03    3344.830
 1.00000000e-03    3399.370
 8.03086000e-04    3451.290
 6.44947000e-04    3504.280
 5.17947000e-04    3558.230
 4.15956000e-04    3608.670
 3.34048000e-04    3653.510
 2.68270000e-04    3695.820
 2.15443000e-04    3734.590
 1.73020000e-04    3767.780
 1.38950000e-04    3795.980
 1.11588000e-04    3818.830
 8.96151000e-05    3835.580
 7.19686000e-05    3846.560
 5.77969000e-05    3851.640
 4.64159000e-05    3851.780
 3.72759000e-05    3851.320
 2.99358000e-05    3854.820
 2.40410000e-05    3865.700
 1.93070000e-05    3884.490
 1.55052000e-05    3910.390
 1.24520000e-05    3941.260
 1.00000000e-05    3974.390
 8.03086000e-06    4002.180
 6.44947000e-06    4024.240
 5.17947000e-06    4041.790
 4.15956000e-06    4055.820
 3.34048000e-06    4068.840
 2.68270000e-06    4082.160
 2.15443000e-06    4094.230
 1.73020000e-06    4103.740
 1.38950000e-06    4110.680
 1.11588000e-06    4115.020
 8.96151000e-07    4117.270
 7.19686000e-07    4117.910
 5.77969000e-07    4116.950
 4.64159000e-07    4114.360
 3.72759000e-07    4110.340
 2.99358000e-07    4105.060
 2.40410000e-07    4098.790
 1.93070000e-07    4092.020
 1.55052000e-07    4085.190
 1.24520000e-07    4078.390
 1.00000000e-07    4071.810
 8.03086000e-08    4065.830
 6.44947000e-08    4060.310
 5.17947000e-08    4055.260
 4.15956000e-08    4050.800
 3.34048000e-08    4046.950
 2.68270000e-08    4043.550
 2.15443000e-08    4040.580
 1.73020000e-08    4037.890
 1.38950000e-08    4034.770
 1.11588000e-08    4029.800
 8.96151000e-09    4021.800
 7.19686000e-09    4010.210
 5.77969000e-09    3994.760
 4.64159000e-09    3975.310
 3.72759000e-09    3951.820
 2.99358000e-09    3924.330
 2.40410000e-09    3892.970
 1.93070000e-09    3857.970
 1.55052000e-09    3819.630
 1.24520000e-09    3778.400
 1.00000000e-09    3734.560
