# wavelength(um)    fp/fs
0.100007     2.09036000e-02
0.100040     1.61517000e-02
0.100074     7.01700000e-04
0.100107     7.14370000e-04
0.100140     9.92797000e-04
0.100174     6.94684000e-04
0.100207     6.89507000e-04
0.100241     7.36462000e-04
0.100274     1.35264000e-03
0.100307     7.00292000e-04
0.100341     6.96475000e-04
0.100374     6.99328000e-04
0.100408     6.93495000e-04
0.100441     6.93526000e-04
0.100475     8.40186000e-04
0.100508     1.87775000e-03
0.100542     1.43778000e-03
0.100575     7.71701000e-04
0.100609     6.93678000e-04
0.100642     6.91674000e-04
0.100676     6.92519000e-04
0.100709     8.12904000e-04
0.100743     2.14424000e-02
0.100777     6.92812000e-04
0.100810     6.92620000e-04
0.100844     1.21095000e-03
0.100877     6.95007000e-04
0.100911     6.95227000e-04
0.100945     6.98269000e-04
0.100978     6.05185000e-03
0.101012     6.94462000e-04
0.101046     6.97757000e-04
0.101079     6.91706000e-04
0.101113     7.91066000e-04
0.101147     7.04829000e-04
0.101180     6.98526000e-04
0.101214     7.15147000e-04
0.101248     3.99786000e-03
0.101282     8.33503000e-04
0.101315     6.91043000e-04
0.101349     2.08767000e-02
0.101383     8.17677000e-04
0.101417     2.91334000e-03
0.101451     6.96276000e-04
0.101484     7.12485000e-04
0.101518     7.01127000e-04
0.101552     2.15326000e-02
0.101586     6.94956000e-04
0.101620     9.25455000e-03
0.101654     6.90701000e-04
0.101688     6.93613000e-04
0.101721     1.02820000e-03
0.101755     9.16808000e-04
0.101789     7.09835000e-04
0.101823     1.54377000e-03
0.101857     6.91051000e-04
0.101891     7.24884000e-04
0.101925     7.72467000e-04
0.101959     7.06292000e-04
0.101993     6.99751000e-04
0.102027     7.27262000e-04
0.102061     7.92379000e-04
0.102095     6.91251000e-04
0.102129     6.99963000e-04
0.102163     7.28421000e-04
0.102197     6.89028000e-04
0.102231     6.92502000e-04
0.102265     6.90055000e-04
0.102299     8.60359000e-04
0.102333     6.95395000e-04
0.102368     1.12591000e-03
0.102402     6.89126000e-04
0.102436     7.19904000e-04
0.102470     7.72555000e-04
0.102504     8.43591000e-04
0.102538     7.04971000e-04
0.102573     9.06823000e-02
0.102607     8.47718000e-04
0.102641     6.94870000e-04
0.102675     7.03743000e-04
0.102709     8.33532000e-04
0.102744     6.86494000e-04
0.102778     7.13941000e-04
0.102812     1.84463000e-03
0.102846     6.95129000e-04
0.102881     6.88132000e-04
0.102915     7.27570000e-04
0.102949     6.92032000e-04
0.102984     6.90468000e-04
0.103018     9.72393000e-04
0.103052     7.04059000e-04
0.103087     1.21638000e-03
0.103121     7.43255000e-04
0.103155     7.16504000e-04
0.103190     7.51069000e-04
0.103224     8.57441000e-04
0.103258     7.74982000e-04
0.103293     6.90394000e-04
0.103327     6.89237000e-04
0.103362     6.96142000e-04
0.103396     1.44015000e-03
0.103431     1.00824000e-03
0.103465     6.88754000e-04
0.103500     6.94507000e-04
0.103534     7.36820000e-04
0.103569     7.45471000e-04
0.103603     6.92861000e-04
0.103638     6.87645000e-04
0.103672     6.85974000e-04
0.103707     6.85221000e-04
0.103741     6.84708000e-04
0.103776     6.87194000e-04
0.103811     8.31224000e-03
0.103845     6.90161000e-04
0.103880     6.88325000e-04
0.103914     1.05793000e-03
0.103949     3.02113000e-03
0.103984     6.86670000e-04
0.104018     6.93071000e-04
0.104053     8.11707000e-04
0.104088     7.10853000e-04
0.104122     6.85398000e-04
0.104157     8.37554000e-04
0.104192     6.88242000e-04
0.104227     7.23582000e-04
0.104261     6.90866000e-04
0.104296     6.89183000e-04
0.104331     1.68844000e-03
0.104366     6.89369000e-04
0.104400     7.05154000e-04
0.104435     6.93374000e-04
0.104470     6.99177000e-04
0.104505     8.35305000e-04
0.104540     6.88418000e-04
0.104575     7.10835000e-04
0.104609     6.89252000e-04
0.104644     6.91908000e-04
0.104679     6.86801000e-04
0.104714     6.92195000e-04
0.104749     7.81831000e-04
0.104784     7.03376000e-04
0.104819     6.87952000e-04
0.104854     1.39039000e-03
0.104889     6.99359000e-04
0.104924     6.96585000e-04
0.104959     1.28207000e-03
0.104994     1.03163000e-03
0.105029     6.86875000e-04
0.105064     6.88908000e-04
0.105099     8.94138000e-04
0.105134     6.85737000e-04
0.105169     6.89598000e-04
0.105204     6.92525000e-04
0.105239     7.90618000e-04
0.105274     6.89293000e-04
0.105309     6.88137000e-04
0.105344     2.83782000e-03
0.105379     7.26744000e-04
0.105414     1.60188000e-03
0.105449     1.36037000e-03
0.105485     7.00856000e-04
0.105520     1.60564000e-03
0.105555     1.32627000e-03
0.105590     8.27279000e-04
0.105625     1.38420000e-03
0.105661     7.42207000e-04
0.105696     8.45750000e-04
0.105731     1.40089000e-03
0.105766     6.86067000e-04
0.105802     7.32291000e-04
0.105837     1.48173000e-03
0.105872     8.60042000e-04
0.105907     1.24528000e-03
0.105943     7.04111000e-04
0.105978     1.33401000e-03
0.106013     7.07523000e-04
0.106049     1.37444000e-03
0.106084     7.00810000e-04
0.106119     6.94115000e-04
0.106155     6.99195000e-04
0.106190     7.11462000e-04
0.106225     1.17077000e-03
0.106261     7.84151000e-04
0.106296     1.48128000e-03
0.106332     1.60147000e-03
0.106367     1.04105000e-03
0.106403     1.38865000e-03
0.106438     9.65285000e-04
0.106474     7.09559000e-04
0.106509     9.42977000e-04
0.106545     8.20858000e-04
0.106580     2.37068000e-02
0.106616     7.19101000e-04
0.106651     3.45703000e-03
0.106687     8.51195000e-04
0.106722     2.16378000e-03
0.106758     8.22739000e-03
0.106793     1.22306000e-03
0.106829     2.55134000e-03
0.106865     2.26903000e-03
0.106900     1.67036000e-03
0.106936     3.45766000e-03
0.106972     8.65982000e-04
0.107007     8.91166000e-04
0.107043     5.92357000e-03
0.107079     1.32928000e-03
0.107114     7.26569000e-04
0.107150     1.51010000e-03
0.107186     2.73342000e-03
0.107221     1.04991000e-03
0.107257     7.65406000e-04
0.107293     8.40200000e-03
0.107329     8.54227000e-03
0.107364     1.42307000e-03
0.107400     5.14518000e-03
0.107436     7.06413000e-04
0.107472     8.16955000e-04
0.107508     1.06952000e-03
0.107543     8.38389000e-04
0.107579     1.91631000e-03
0.107615     1.40056000e-03
0.107651     1.23088000e-03
0.107687     5.46098000e-03
0.107723     5.25744000e-03
0.107759     1.15725000e-03
0.107795     6.97538000e-04
0.107831     1.31606000e-03
0.107867     1.67429000e-03
0.107903     6.86105000e-04
0.107938     7.11105000e-04
0.107974     6.87943000e-04
0.108010     8.01463000e-04
0.108046     9.99686000e-04
0.108082     1.12042000e-03
0.108118     6.82839000e-04
0.108155     6.97093000e-04
0.108191     1.61902000e-03
0.108227     1.37796000e-03
0.108263     6.92760000e-04
0.108299     6.83422000e-04
0.108335     2.23766000e-03
0.108371     8.41879000e-03
0.108407     1.58020000e-03
0.108443     7.14155000e-04
0.108479     1.55003000e-03
0.108516     7.20627000e-04
0.108552     7.86263000e-04
0.108588     6.83555000e-04
0.108624     6.84357000e-04
0.108660     1.01814000e-03
0.108697     2.17570000e-03
0.108733     1.17080000e-03
0.108769     7.03845000e-04
0.108805     8.00190000e-04
0.108842     2.43656000e-03
0.108878     1.67454000e-02
0.108914     1.99553000e-03
0.108950     3.43087000e-03
0.108987     6.99475000e-04
0.109023     6.88368000e-04
0.109059     2.11428000e-03
0.109096     1.38103000e-02
0.109132     7.46758000e-04
0.109169     7.43163000e-04
