# pressure(bar)    temperature(K)
 1.00000000e+02    2149.870
 8.96151000e+01    2149.870
 7.19686000e+01    2149.870
 5.77969000e+01    2149.870
 4.64159000e+01    2149.870
 3.72759000e+01    2149.870
 2.99358000e+01    2149.870
 2.40410000e+01    2149.870
 1.93070000e+01    2149.870
 1.55052000e+01    2149.870
 1.24520000e+01    2149.870
 1.00000000e+01    2149.870
 8.03086000e+00    2149.870
 6.44947000e+00    2149.870
 5.17947000e+00    2149.870
 4.15956000e+00    2149.870
 3.34048000e+00    2149.870
 2.68270000e+00    2149.870
 2.15443000e+00    2149.870
 1.73020000e+00    2149.870
 1.38950000e+00    2149.870
 1.11588000e+00    2149.870
 8.96151000e-01    2149.870
 7.19686000e-01    2149.870
 5.77969000e-01    2149.870
 4.64159000e-01    2149.860
 3.72759000e-01    2149.780
 2.99358000e-01    2149.510
 2.40410000e-01    2148.730
 1.93070000e-01    2146.900
 1.55052000e-01    2143.240
 1.24520000e-01    2136.790
 1.00000000e-01    2126.450
 8.03086000e-02    2111.130
 6.44947000e-02    2089.860
 5.17947000e-02    2062.180
 4.15956000e-02    2028.210
 3.34048000e-02    1988.580
 2.68270000e-02    1943.920
 2.15443000e-02    1894.830
 1.73020000e-02    1842.740
 1.38950000e-02    1789.630
 1.11588000e-02    1736.590
 8.96151000e-03    1684.860
 7.19686000e-03    1635.610
 5.77969000e-03    1589.870
 4.64159000e-03    1547.380
 3.72759000e-03    1508.100
 2.99358000e-03    1472.470
 2.40410000e-03    1440.910
 1.93070000e-03    1413.240
 1.55052000e-03    1388.150
 1.24520000e-03    1364.710
 1.00000000e-03    1343.220
 8.03086000e-04    1323.210
 6.44947000e-04    1304.750
 5.17947000e-04    1287.800
 4.15956000e-04    1272.080
 3.34048000e-04    1257.360
 2.68270000e-04    1243.700
 2.15443000e-04    1230.970
 1.73020000e-04    1218.950
 1.38950000e-04    1207.640
 1.11588000e-04    1196.740
 8.96151000e-05    1185.900
 7.19686000e-05    1175.320
 5.77969000e-05    1165.060
 4.64159000e-05    1155.090
 3.72759000e-05    1145.370
 2.99358000e-05    1135.910
 2.40410000e-05    1126.750
 1.93070000e-05    1117.880
 1.55052000e-05    1109.370
 1.24520000e-05    1101.250
 1.00000000e-05    1093.580
 8.03086000e-06    1086.370
 6.44947000e-06    1079.630
 5.17947000e-06    1073.340
 4.15956000e-06    1067.460
 3.34048000e-06    1061.980
 2.68270000e-06    1056.900
 2.15443000e-06    1052.210
 1.73020000e-06    1047.870
 1.38950000e-06    1043.800
 1.11588000e-06    1039.910
 8.96151000e-07    1036.030
 7.19686000e-07    1032.050
 5.77969000e-07    1027.900
 4.64159000e-07    1023.550
 3.72759000e-07    1019.040
 2.99358000e-07    1014.440
 2.40410000e-07    1009.880
 1.93070000e-07    1005.470
 1.55052000e-07    1001.360
 1.24520000e-07     997.668
 1.00000000e-07     994.260
 8.03086000e-08     993.167
 6.44947000e-08     997.418
 5.17947000e-08    1008.100
 4.15956000e-08    1025.930
 3.34048000e-08    1051.420
 2.68270000e-08    1084.930
 2.15443000e-08    1126.730
 1.73020000e-08    1177.020
 1.38950000e-08    1235.950
 1.11588000e-08    1303.630
 8.96151000e-09    1380.160
 7.19686000e-09    1465.620
 5.77969000e-09    1560.020
 4.64159000e-09    1663.380
 3.72759000e-09    1775.330
 2.99358000e-09    1894.960
 2.40410000e-09    2021.780
 1.93070000e-09    2155.800
 1.55052000e-09    2296.950
 1.24520000e-09    2445.090
 1.00000000e-09    2600.000
