# wavelength(um)    fp/fs
0.100007     9.24477000e-05
0.100040     5.56897000e-05
0.100074     9.99637000e-05
0.100107     1.01162000e-04
0.100140     9.67231000e-05
0.100174     9.74117000e-05
0.100207     2.53126000e-05
0.100241     9.67352000e-05
0.100274     9.46471000e-05
0.100307     8.60110000e-05
0.100341     8.08856000e-05
0.100374     6.95242000e-05
0.100408     1.01502000e-04
0.100441     1.01087000e-04
0.100475     9.75489000e-05
0.100508     7.04752000e-05
0.100542     9.80794000e-05
0.100575     8.80415000e-05
0.100609     8.77282000e-05
0.100642     2.31465000e-05
0.100676     8.98268000e-05
0.100709     7.39658000e-05
0.100743     9.41662000e-05
0.100777     9.75152000e-05
0.100810     8.15151000e-05
0.100844     6.59104000e-08
0.100877     7.04674000e-05
0.100911     9.92896000e-05
0.100945     9.45762000e-05
0.100978     8.98972000e-05
0.101012     9.92142000e-05
0.101046     6.62812000e-05
0.101079     9.74393000e-05
0.101113     9.98736000e-05
0.101147     9.86811000e-05
0.101180     9.85531000e-05
0.101214     9.68931000e-05
0.101248     6.85395000e-05
0.101282     8.46518000e-05
0.101315     9.66445000e-05
0.101349     7.57911000e-05
0.101383     2.48192000e-05
0.101417     8.57893000e-05
0.101451     9.31741000e-05
0.101484     8.44849000e-05
0.101518     9.67287000e-05
0.101552     9.58381000e-05
0.101586     8.79236000e-05
0.101620     9.67689000e-05
0.101654     9.59443000e-05
0.101688     5.87863000e-05
0.101721     9.38865000e-05
0.101755     8.79562000e-05
0.101789     4.53207000e-05
0.101823     5.35955000e-08
0.101857     8.50671000e-05
0.101891     8.81153000e-05
0.101925     8.64667000e-05
0.101959     2.16908000e-05
0.101993     7.26672000e-05
0.102027     8.34861000e-05
0.102061     7.90355000e-05
0.102095     7.85085000e-05
0.102129     7.39770000e-05
0.102163     6.78466000e-05
0.102197     5.85573000e-05
0.102231     4.44176000e-05
0.102265     2.25952000e-05
0.102299     3.93082000e-07
0.102333     1.63181000e-05
0.102368     3.89618000e-05
0.102402     4.61212000e-05
0.102436     4.41730000e-05
0.102470     6.58040000e-05
0.102504     7.24684000e-05
0.102538     7.91609000e-05
0.102573     3.01894000e-05
0.102607     5.42317000e-05
0.102641     7.93413000e-05
0.102675     7.14555000e-05
0.102709     7.18738000e-05
0.102744     1.45901000e-05
0.102778     7.34095000e-05
0.102812     7.99988000e-05
0.102846     7.88022000e-05
0.102881     5.80114000e-05
0.102915     8.04263000e-05
0.102949     8.95974000e-05
0.102984     8.88737000e-05
0.103018     3.14622000e-06
0.103052     8.08015000e-05
0.103087     1.75482000e-05
0.103121     8.12846000e-05
0.103155     7.58716000e-05
0.103190     1.90070000e-07
0.103224     8.27956000e-05
0.103258     7.60147000e-05
0.103293     7.02611000e-05
0.103327     6.55547000e-05
0.103362     8.34735000e-05
0.103396     4.48319000e-08
0.103431     7.30081000e-08
0.103465     6.67185000e-05
0.103500     3.91316000e-05
