# Wavelength              Flux
#         um   erg s-1 cm-2 cm
     0.10000   8.281234937e-13
     0.10013   6.495372331e-13
     0.10027   4.877246040e-13
     0.10040   3.926375574e-13
     0.10053   6.612849440e-13
     0.10067   4.628089925e-13
     0.10080   3.180676223e-13
     0.10094   3.790129587e-13
     0.10107   5.113288826e-13
     0.10121   5.258553817e-13
     0.10134   5.136706249e-13
     0.10148   2.689346621e-13
     0.10161   8.348845595e-13
     0.10175   3.736952554e-13
     0.10188   9.024807491e-13
     0.10202   1.022966617e-12
     0.10216   5.513251748e-13
     0.10229   3.293120611e-13
     0.10243   1.250411626e-13
     0.10257   3.085907537e-15
     0.10270   1.050879488e-13
     0.10284   2.800440008e-13
     0.10298   7.033544301e-13
     0.10311   8.083828098e-13
     0.10325   3.585067131e-12
     0.10339   3.511973419e-12
     0.10353   1.391173362e-12
     0.10367   2.117527319e-12
     0.10380   8.526724034e-12
     0.10394   9.039094250e-12
     0.10408   4.468199492e-12
     0.10422   6.923408903e-12
     0.10436   1.111703363e-11
     0.10450   7.535493215e-12
     0.10464   8.812174621e-12
     0.10478   6.127630828e-12
     0.10492   7.602025597e-12
     0.10506   5.422413592e-12
     0.10520   8.538916027e-12
     0.10534   1.160671593e-11
     0.10548   1.126944204e-11
     0.10562   7.428529676e-12
     0.10576   9.090606096e-12
     0.10590   1.426380069e-11
     0.10604   2.569043324e-11
     0.10618   1.946417573e-11
     0.10633   1.394878785e-11
     0.10647   1.997160797e-11
     0.10661   2.582982875e-11
     0.10675   2.168620973e-11
     0.10689   2.931242579e-11
     0.10704   2.579751329e-11
     0.10718   2.288287000e-11
     0.10732   2.319779660e-11
     0.10747   2.339853734e-11
     0.10761   6.335839193e-11
     0.10775   3.093159656e-11
     0.10790   2.444689243e-11
     0.10804   3.416299537e-11
     0.10818   3.615505042e-11
     0.10833   7.749053892e-11
     0.10847   5.232102328e-11
     0.10862   6.443875039e-11
     0.10876   5.105023095e-11
     0.10891   4.856122548e-11
     0.10905   1.123686417e-10
     0.10920   4.885625728e-11
     0.10934   8.066589665e-11
     0.10949   8.142854862e-11
     0.10964   4.836219070e-11
     0.10978   8.891252659e-11
     0.10993   6.707823852e-11
     0.11008   5.249772286e-11
     0.11022   1.482371468e-10
     0.11037   2.323828239e-10
     0.11052   1.538318120e-10
     0.11066   1.664413651e-10
     0.11081   1.382254148e-10
     0.11096   1.402706655e-10
     0.11111   2.553408125e-10
     0.11126   1.359332375e-10
     0.11140   1.660817256e-10
     0.11155   1.146573993e-10
     0.11170   1.597705071e-10
     0.11185   2.196831786e-10
     0.11200   2.065583074e-10
     0.11215   2.222589060e-10
     0.11230   5.406737610e-10
     0.11245   2.200444223e-10
     0.11260   5.705770140e-10
     0.11275   4.966780972e-10
     0.11290   3.948940203e-10
     0.11305   4.430069394e-10
     0.11320   4.602573408e-10
     0.11335   4.477470255e-10
     0.11350   2.923003941e-10
     0.11366   4.081989792e-10
     0.11381   5.212089848e-10
     0.11396   2.536570420e-10
     0.11411   5.453299071e-10
     0.11426   5.783317234e-10
     0.11442   4.448739361e-10
     0.11457   3.768078710e-10
     0.11472   5.119471365e-10
     0.11487   4.069271900e-10
     0.11503   5.238782710e-10
     0.11518   3.762397427e-10
     0.11533   6.752034526e-10
     0.11549   6.192226335e-10
     0.11564   5.071251382e-10
     0.11580   6.140926733e-10
     0.11595   3.247760659e-10
     0.11611   5.629047946e-10
     0.11626   4.164133129e-10
     0.11642   3.659354932e-10
     0.11657   2.624055262e-10
     0.11673   2.219179906e-10
     0.11688   4.243262956e-10
