# Passband info could be (1) a path to a filter file or
# (2) a tophat filter defined by a central wavelength, half-width,
# and optionally a name

# Comment lines (like this one) and blank lines are ignored,
# central-wavelength and half-width units are always microns

# @DEPTH_UNITS sets the depth and uncert units (none, percent, ppt, ppm)
# and also indicates that there's data and uncertainties to read
# as two columns before the passband info

@DEPTH_UNITS
percent

# depth    depth_err     wl  half_width    instrument
@DATA
    1.69754      0.00446     2.87854    0.00800    nirspec
    1.70172      0.00442     2.89458    0.00804    nirspec
    1.69880      0.00435     2.91070    0.00809    nirspec
    1.68853      0.00430     2.92692    0.00813    nirspec
    1.69348      0.00420     2.94322    0.00818    nirspec
    1.68642      0.00403     2.95962    0.00822    nirspec
    1.68330      0.00404     2.97611    0.00827    nirspec
    1.67822      0.00392     2.99269    0.00831    nirspec
    1.68115      0.00397     3.00936    0.00836    nirspec
    1.68451      0.00388     3.02613    0.00841    nirspec
    1.68224      0.00387     3.04298    0.00845    nirspec
    1.68448      0.00377     3.05994    0.00850    nirspec
    1.68752      0.00385     3.07698    0.00855    nirspec
    1.68636      0.00378     3.09413    0.00859    nirspec
    1.69277      0.00386     3.11136    0.00864    nirspec
    1.69350      0.00377     3.12870    0.00869    nirspec
    1.70716      0.00377     3.14613    0.00874    nirspec
    1.70520      0.00378     3.16365    0.00879    nirspec
    1.70343      0.00379     3.18128    0.00884    nirspec
    1.70062      0.00374     3.19900    0.00889    nirspec
    1.70342      0.00382     3.21682    0.00894    nirspec
    1.70177      0.00377     3.23475    0.00899    nirspec
    1.69679      0.00376     3.25277    0.00904    nirspec
    1.69297      0.00376     3.27089    0.00909    nirspec
    1.68458      0.00378     3.28911    0.00914    nirspec
    1.69679      0.00377     3.30743    0.00919    nirspec
    1.71034      0.00375     3.32586    0.00924    nirspec
    1.70622      0.00375     3.34439    0.00929    nirspec
    1.70182      0.00384     3.36302    0.00934    nirspec
    1.69098      0.00378     3.38175    0.00939    nirspec
    1.69408      0.00377     3.40059    0.00945    nirspec
    1.68887      0.00382     3.41954    0.00950    nirspec
    1.69754      0.00383     3.43859    0.00955    nirspec
    1.69927      0.00379     3.45775    0.00960    nirspec
    1.68493      0.00380     3.47701    0.00966    nirspec
    1.68987      0.00382     3.49638    0.00971    nirspec
    1.68178      0.00386     3.51586    0.00977    nirspec
    1.69250      0.00387     3.53545    0.00982    nirspec
    1.68274      0.00382     3.55514    0.00988    nirspec
    1.68398      0.00386     3.57495    0.00993    nirspec
    1.67985      0.00396     3.59486    0.00999    nirspec
    1.67550      0.00392     3.61489    0.01004    nirspec
    1.67425      0.00390     3.63503    0.01010    nirspec
    1.66939      0.00401     3.65528    0.01015    nirspec
    1.66417      0.00400     3.67564    0.01021    nirspec
    1.66825      0.00407     3.69612    0.01027    nirspec
    1.66270      0.00502     3.71671    0.01032    nirspec
    1.65685      0.00635     3.82140    0.01062    nirspec
    1.65213      0.00424     3.84269    0.01067    nirspec
    1.66158      0.00431     3.86410    0.01073    nirspec
    1.65655      0.00435     3.88563    0.01079    nirspec
    1.65191      0.00433     3.90727    0.01085    nirspec
    1.65516      0.00437     3.92904    0.01091    nirspec
    1.66732      0.00444     3.95093    0.01097    nirspec
    1.67292      0.00449     3.97294    0.01104    nirspec
    1.66404      0.00449     3.99507    0.01110    nirspec
    1.67489      0.00462     4.01733    0.01116    nirspec
    1.66510      0.00461     4.03971    0.01122    nirspec
    1.66231      0.00469     4.06222    0.01128    nirspec
    1.65693      0.00474     4.08485    0.01135    nirspec
    1.65993      0.00472     4.10760    0.01141    nirspec
