# Passband info could be (1) a path to a filter file or
# (2) a tophat filter defined by a central wavelength, half-width,
# and optionally a name

# Comment lines (like this one) and blank lines are ignored,
# central-wavelength and half-width units are always microns

# @DEPTH_UNITS sets the depth and uncert units (none, percent, ppt, ppm)
# and also indicates that there's data and uncertainties to read
# as two columns before the passband info

@DEPTH_UNITS
percent

# depth    depth_err     wl  half_width    instrument
@DATA
    1.58905      0.00860     0.83321    0.00231    niriss
    1.60118      0.00802     0.83786    0.00233    niriss
    1.59324      0.00778     0.84252    0.00234    niriss
    1.58858      0.00754     0.84722    0.00235    niriss
    1.58744      0.00752     0.85194    0.00237    niriss
    1.58340      0.00728     0.85668    0.00238    niriss
    1.59055      0.00796     0.86146    0.00239    niriss
    1.56895      0.00712     0.86626    0.00241    niriss
    1.58210      0.00698     0.87108    0.00242    niriss
    1.57516      0.00679     0.87593    0.00243    niriss
    1.56998      0.00678     0.88081    0.00245    niriss
    1.57496      0.00600     0.88572    0.00246    niriss
    1.58413      0.00642     0.89066    0.00247    niriss
    1.58836      0.00637     0.89562    0.00249    niriss
    1.58151      0.00636     0.90061    0.00250    niriss
    1.58620      0.00619     0.90562    0.00252    niriss
    1.59438      0.00616     0.91067    0.00253    niriss
    1.60138      0.00555     0.91574    0.00254    niriss
    1.59248      0.00607     0.92084    0.00256    niriss
    1.61050      0.00602     0.92597    0.00257    niriss
    1.62988      0.00539     0.93113    0.00259    niriss
    1.63994      0.00585     0.93632    0.00260    niriss
    1.63044      0.00584     0.94154    0.00262    niriss
    1.62238      0.00525     0.94678    0.00263    niriss
    1.62551      0.00567     0.95206    0.00264    niriss
    1.62588      0.00514     0.95736    0.00266    niriss
    1.62280      0.00562     0.96269    0.00267    niriss
    1.61863      0.00507     0.96806    0.00269    niriss
    1.61605      0.00553     0.97345    0.00270    niriss
    1.60911      0.00498     0.97887    0.00272    niriss
    1.62136      0.00491     0.98433    0.00273    niriss
    1.60962      0.00533     0.98981    0.00275    niriss
    1.61327      0.00484     0.99533    0.00276    niriss
    1.59885      0.00480     1.00087    0.00278    niriss
    1.59617      0.00523     1.00645    0.00280    niriss
    1.58901      0.00474     1.01205    0.00281    niriss
    1.59496      0.00472     1.01769    0.00283    niriss
    1.57914      0.00468     1.02336    0.00284    niriss
    1.57687      0.00465     1.02906    0.00286    niriss
    1.57211      0.00465     1.03479    0.00287    niriss
    1.56751      0.00460     1.04056    0.00289    niriss
    1.57832      0.00456     1.04636    0.00291    niriss
    1.56668      0.00453     1.05219    0.00292    niriss
    1.56784      0.00454     1.05805    0.00294    niriss
    1.56381      0.00451     1.06394    0.00296    niriss
    1.57116      0.00451     1.06987    0.00297    niriss
    1.56420      0.00449     1.07583    0.00299    niriss
    1.57528      0.00452     1.08182    0.00301    niriss
    1.58344      0.00413     1.08785    0.00302    niriss
    1.60222      0.00445     1.09391    0.00304    niriss
    1.61774      0.00446     1.10000    0.00306    niriss
    1.62403      0.00440     1.10613    0.00307    niriss
    1.63437      0.00406     1.11230    0.00309    niriss
    1.63200      0.00436     1.11849    0.00311    niriss
    1.63634      0.00404     1.12472    0.00312    niriss
    1.64474      0.00434     1.13099    0.00314    niriss
    1.64524      0.00403     1.13729    0.00316    niriss
    1.64078      0.00433     1.14363    0.00318    niriss
    1.63266      0.00398     1.15000    0.00319    niriss
    1.64192      0.00428     1.15640    0.00321    niriss
    1.63400      0.00400     1.16285    0.00323    niriss
    1.63334      0.00396     1.16932    0.00325    niriss
    1.63424      0.00396     1.17584    0.00327    niriss
    1.63067      0.00433     1.18239    0.00328    niriss
    1.62811      0.00397     1.18898    0.00330    niriss
    1.62143      0.00400     1.19560    0.00332    niriss
    1.61123      0.00400     1.20226    0.00334    niriss
    1.60605      0.00401     1.20896    0.00336    niriss
    1.60778      0.00394     1.21569    0.00338    niriss
    1.60795      0.00396     1.22247    0.00340    niriss
    1.59407      0.00396     1.22928    0.00341    niriss
    1.59470      0.00398     1.23612    0.00343    niriss
    1.59388      0.00399     1.24301    0.00345    niriss
    1.59105      0.00400     1.24994    0.00347    niriss
    1.58804      0.00401     1.25690    0.00349    niriss
    1.58664      0.00376     1.26390    0.00351    niriss
    1.59448      0.00402     1.27094    0.00353    niriss
    1.58506      0.00404     1.27802    0.00355    niriss
    1.59290      0.00381     1.28514    0.00357    niriss
    1.60067      0.00409     1.29230    0.00359    niriss
    1.60830      0.00410     1.29950    0.00361    niriss
    1.60644      0.00385     1.30674    0.00363    niriss
    1.59851      0.00421     1.31402    0.00365    niriss
    1.62606      0.00389     1.32134    0.00367    niriss
    1.62906      0.00420     1.32870    0.00369    niriss
    1.65903      0.00394     1.33611    0.00371    niriss
    1.67538      0.00395     1.34355    0.00373    niriss
    1.67398      0.00397     1.35103    0.00375    niriss
    1.67021      0.00429     1.35856    0.00377    niriss
    1.67725      0.00403     1.36613    0.00379    niriss
    1.67619      0.00406     1.37374    0.00382    niriss
    1.68210      0.00407     1.38139    0.00384    niriss
    1.67544      0.00410     1.38909    0.00386    niriss
    1.69022      0.00414     1.39683    0.00388    niriss
    1.67874      0.00417     1.40461    0.00390    niriss
    1.67394      0.00423     1.41243    0.00392    niriss
    1.67933      0.00425     1.42030    0.00395    niriss
    1.68225      0.00434     1.42822    0.00397    niriss
    1.68056      0.00407     1.43617    0.00399    niriss
    1.67972      0.00438     1.44417    0.00401    niriss
    1.66002      0.00442     1.45222    0.00403    niriss
    1.65398      0.00418     1.46031    0.00406    niriss
    1.66448      0.00449     1.46844    0.00408    niriss
    1.67342      0.00450     1.47663    0.00410    niriss
    1.66296      0.00433     1.48485    0.00412    niriss
    1.65433      0.00457     1.49312    0.00415    niriss
    1.64849      0.00451     1.50144    0.00417    niriss
    1.65715      0.00439     1.50981    0.00419    niriss
    1.65111      0.00467     1.51822    0.00422    niriss
    1.63537      0.00442     1.52668    0.00424    niriss
    1.64291      0.00445     1.53518    0.00426    niriss
    1.63887      0.00445     1.54373    0.00429    niriss
    1.64085      0.00451     1.55233    0.00431    niriss
    1.63938      0.00457     1.56098    0.00434    niriss
    1.62852      0.00464     1.56968    0.00436    niriss
    1.63163      0.00478     1.57842    0.00438    niriss
    1.60885      0.00477     1.58722    0.00441    niriss
    1.59856      0.00475     1.59606    0.00443    niriss
    1.62393      0.00477     1.60495    0.00446    niriss
    1.62368      0.00487     1.61389    0.00448    niriss
    1.63059      0.00463     1.62288    0.00451    niriss
    1.61765      0.00489     1.63192    0.00453    niriss
    1.62056      0.00501     1.64102    0.00456    niriss
    1.62445      0.00475     1.65016    0.00458    niriss
    1.62077      0.00506     1.65935    0.00461    niriss
    1.63589      0.00491     1.66860    0.00463    niriss
    1.62866      0.00499     1.67789    0.00466    niriss
    1.62496      0.00528     1.68724    0.00469    niriss
    1.62717      0.00506     1.69664    0.00471    niriss
    1.62213      0.00517     1.70609    0.00474    niriss
    1.62280      0.00552     1.71559    0.00477    niriss
    1.63169      0.00528     1.72515    0.00479    niriss
    1.64455      0.00539     1.73476    0.00482    niriss
    1.63991      0.00544     1.74443    0.00485    niriss
    1.63581      0.00546     1.75415    0.00487    niriss
    1.63860      0.00558     1.76392    0.00490    niriss
    1.63962      0.00540     1.77375    0.00493    niriss
    1.65368      0.00571     1.78363    0.00495    niriss
    1.65774      0.00577     1.79356    0.00498    niriss
    1.66590      0.00586     1.80356    0.00501    niriss
    1.67695      0.00568     1.81360    0.00504    niriss
    1.67336      0.00600     1.82371    0.00507    niriss
    1.66679      0.00582     1.83387    0.00509    niriss
    1.66677      0.00625     1.84408    0.00512    niriss
    1.67304      0.00597     1.85436    0.00515    niriss
    1.68160      0.00604     1.86469    0.00518    niriss
    1.67257      0.00653     1.87508    0.00521    niriss
    1.66657      0.00624     1.88552    0.00524    niriss
    1.67370      0.00635     1.89603    0.00527    niriss
    1.66300      0.00636     1.90659    0.00530    niriss
    1.65909      0.00646     1.91721    0.00533    niriss
    1.66844      0.00656     1.92789    0.00536    niriss
    1.67294      0.00664     1.93863    0.00539    niriss
    1.68271      0.00685     1.94943    0.00542    niriss
    1.66819      0.00678     1.96029    0.00545    niriss
    1.66377      0.00658     1.97121    0.00548    niriss
    1.66805      0.00708     1.98219    0.00551    niriss
    1.67308      0.00708     1.99324    0.00554    niriss
    1.67249      0.00681     2.00434    0.00557    niriss
    1.64925      0.00688     2.01551    0.00560    niriss
    1.65468      0.00733     2.02674    0.00563    niriss
    1.65199      0.00709     2.03803    0.00566    niriss
    1.63677      0.00716     2.04938    0.00569    niriss
    1.64409      0.00767     2.06080    0.00572    niriss
    1.64255      0.00738     2.07228    0.00576    niriss
    1.63022      0.00746     2.08382    0.00579    niriss
    1.64192      0.00756     2.09543    0.00582    niriss
    1.63067      0.00764     2.10711    0.00585    niriss
    1.62085      0.00778     2.11885    0.00589    niriss
    1.61788      0.00753     2.13065    0.00592    niriss
    1.63344      0.00792     2.14252    0.00595    niriss
    1.63412      0.00801     2.15446    0.00598    niriss
    1.63379      0.00786     2.16646    0.00602    niriss
    1.64216      0.00829     2.17853    0.00605    niriss
    1.64450      0.00804     2.19066    0.00609    niriss
    1.64446      0.00851     2.20287    0.00612    niriss
    1.65333      0.00822     2.21514    0.00615    niriss
    1.66579      0.00835     2.22748    0.00619    niriss
    1.65325      0.00846     2.23989    0.00622    niriss
    1.67315      0.00893     2.25237    0.00626    niriss
    1.67362      0.00871     2.26492    0.00629    niriss
    1.66242      0.00886     2.27754    0.00633    niriss
    1.65772      0.00903     2.29022    0.00636    niriss
    1.66914      0.00888     2.30298    0.00640    niriss
    1.66227      0.00930     2.31581    0.00643    niriss
    1.67648      0.00963     2.32871    0.00647    niriss
    1.66885      0.00927     2.34169    0.00650    niriss
    1.68584      0.00993     2.35473    0.00654    niriss
    1.68817      0.00954     2.36785    0.00658    niriss
    1.68941      0.01025     2.38104    0.00661    niriss
    1.67891      0.00987     2.39431    0.00665    niriss
    1.66102      0.01000     2.40765    0.00669    niriss
    1.66470      0.01029     2.42106    0.00673    niriss
    1.69038      0.01030     2.43455    0.00676    niriss
    1.66875      0.01060     2.44811    0.00680    niriss
    1.67402      0.01061     2.46175    0.00684    niriss
    1.64863      0.01093     2.47546    0.00688    niriss
    1.67708      0.01114     2.48925    0.00691    niriss
    1.70570      0.01080     2.50312    0.00695    niriss
    1.68751      0.01134     2.51707    0.00699    niriss
    1.68742      0.01103     2.53109    0.00703    niriss
    1.68000      0.01167     2.54519    0.00707    niriss
    1.70589      0.01139     2.55937    0.00711    niriss
    1.68507      0.01183     2.57363    0.00715    niriss
    1.71420      0.01156     2.58797    0.00719    niriss
