# Passband info could be (1) a path to a filter file or
# (2) a tophat filter defined by a central wavelength, half-width,
# and optionally a name

# Comment lines (like this one) and blank lines are ignored,
# central-wavelength and half-width units are always microns

# @DEPTH_UNITS sets the depth and uncert units (none, percent, ppt, ppm)
# and also indicates that there's data and uncertainties to read
# as two columns before the passband info

#      wl  half_width    instrument
@DATA
  1.0101    0.0101    NIRISS
  1.0305    0.0103    NIRISS
  1.0513    0.0105    NIRISS
  1.0726    0.0107    NIRISS
  1.0942    0.0109    NIRISS
  1.1163    0.0112    NIRISS
  1.1389    0.0114    NIRISS
  1.1619    0.0116    NIRISS
  1.1854    0.0119    NIRISS
  1.2093    0.0121    NIRISS
  1.2337    0.0123    NIRISS
  1.2587    0.0126    NIRISS
  1.2841    0.0128    NIRISS
  1.3100    0.0131    NIRISS
  1.3365    0.0134    NIRISS
  1.3635    0.0136    NIRISS
  1.3911    0.0139    NIRISS
  1.4192    0.0142    NIRISS
  1.4478    0.0145    NIRISS
  1.4771    0.0148    NIRISS
  1.5069    0.0151    NIRISS
  1.5374    0.0154    NIRISS
  1.5684    0.0157    NIRISS
  1.6001    0.0160    NIRISS
  1.6324    0.0163    NIRISS
  1.6654    0.0167    NIRISS
  1.6990    0.0170    NIRISS
  1.7334    0.0173    NIRISS
  1.7684    0.0177    NIRISS
  1.8041    0.0180    NIRISS
  1.8406    0.0184    NIRISS
  1.8777    0.0188    NIRISS
  1.9157    0.0192    NIRISS
  1.9544    0.0195    NIRISS
  1.9939    0.0199    NIRISS
  2.0341    0.0203    NIRISS
  2.0752    0.0208    NIRISS
  2.1172    0.0212    NIRISS
  2.1599    0.0216    NIRISS
  2.2036    0.0220    NIRISS
  2.2481    0.0225    NIRISS
  2.2935    0.0229    NIRISS
  2.3398    0.0234    NIRISS
  2.3871    0.0239    NIRISS
  2.4353    0.0244    NIRISS
  2.4845    0.0248    NIRISS
  2.5347    0.0253    NIRISS
  2.5859    0.0259    NIRISS
  2.6382    0.0264    NIRISS
  2.6915    0.0269    NIRISS
  2.7458    0.0275    NIRISS
  2.8013    0.0280    NIRISS
  2.8579    0.0286    NIRISS
  2.9156    0.0292    NIRISS
  2.9745    0.0297    NIRISS
  3.0346    0.0303    NIRISS
  3.0959    0.0310    NIRISS
  3.1585    0.0316    NIRISS
  3.2223    0.0322    NIRISS
  3.2874    0.0329    NIRISS
  3.3538    0.0335    NIRISS
  3.4215    0.0342    NIRISS
  3.4907    0.0349    NIRISS
  3.5612    0.0356    NIRISS
  3.6331    0.0363    NIRISS
  3.7065    0.0371    NIRISS
  3.7814    0.0378    NIRISS
  3.8578    0.0386    NIRISS
  3.9357    0.0394    NIRISS
  4.0152    0.0402    NIRISS
  4.0964    0.0410    NIRISS
  4.1791    0.0418    NIRISS
  4.2635    0.0426    NIRISS
  4.3497    0.0435    NIRISS
  4.4375    0.0444    NIRISS
  4.5272    0.0453    NIRISS
  4.6186    0.0462    NIRISS
  4.7119    0.0471    NIRISS
  4.8071    0.0481    NIRISS
  4.9043    0.0490    NIRISS
  5.0033    0.0500    NIRISS
  5.1044    0.0510    NIRISS
  5.2075    0.0521    NIRISS
  5.3127    0.0531    NIRISS
  5.4201    0.0542    NIRISS
  5.5296    0.0553    NIRISS
  5.6413    0.0564    NIRISS
  5.7552    0.0576    NIRISS
  5.8715    0.0587    NIRISS
  5.9901    0.0599    NIRISS
  6.1111    0.0611    NIRISS
  6.2346    0.0623    NIRISS
  6.3605    0.0636    NIRISS
  6.4890    0.0649    NIRISS
  6.6201    0.0662    NIRISS
  6.7539    0.0675    NIRISS
  6.8903    0.0689    NIRISS
  7.0295    0.0703    NIRISS
  7.1715    0.0717    NIRISS
  7.3164    0.0732    NIRISS
  7.4642    0.0746    NIRISS
  7.6150    0.0761    NIRISS
  7.7688    0.0777    NIRISS
  7.9258    0.0793    NIRISS
  8.0859    0.0809    NIRISS
  8.2492    0.0825    NIRISS
  8.4159    0.0842    NIRISS
  8.5859    0.0859    NIRISS
  8.7594    0.0876    NIRISS
  8.9363    0.0894    NIRISS
  9.1168    0.0912    NIRISS
  9.3010    0.0930    NIRISS
  9.4889    0.0949    NIRISS
  9.6806    0.0968    NIRISS
  9.8762    0.0988    NIRISS
