# Wavelength              Flux
#         um   erg s-1 cm-2 cm
     0.10000   1.923606465e-11
     0.10013   1.413182387e-11
     0.10027   1.193386212e-11
     0.10040   1.176175585e-11
     0.10053   1.740107085e-11
     0.10067   5.503679630e-12
     0.10080   6.156248400e-12
     0.10094   1.115373561e-11
     0.10107   1.271594690e-11
     0.10121   1.430857455e-11
     0.10134   1.165879075e-11
     0.10148   1.152820853e-11
     0.10161   1.469959783e-11
     0.10175   2.010494730e-11
     0.10188   2.967517708e-11
     0.10202   2.506571153e-11
     0.10216   2.489008473e-11
     0.10229   3.321111179e-11
     0.10243   2.583522044e-11
     0.10257   7.827858511e-12
     0.10270   3.026126620e-11
     0.10284   2.844611880e-11
     0.10298   3.052038290e-11
     0.10311   1.785388228e-11
     0.10325   7.273404851e-11
     0.10339   6.142322098e-11
     0.10353   3.553116516e-11
     0.10367   7.234960045e-11
     0.10380   1.369631682e-10
     0.10394   1.278094849e-10
     0.10408   7.055916906e-11
     0.10422   1.022042155e-10
     0.10436   1.507211048e-10
     0.10450   8.900288792e-11
     0.10464   1.869572214e-10
     0.10478   1.308837195e-10
     0.10492   8.701424229e-11
     0.10506   9.575419398e-11
     0.10520   8.309031025e-11
     0.10534   1.349608733e-10
     0.10548   9.054101125e-11
     0.10562   9.432346326e-11
     0.10576   1.531873545e-10
     0.10590   8.488688167e-11
     0.10604   3.479664585e-10
     0.10618   2.132206298e-10
     0.10633   2.468607046e-10
     0.10647   2.340209841e-10
     0.10661   1.762237729e-10
     0.10675   2.695557174e-10
     0.10689   3.127831532e-10
     0.10704   2.054188209e-10
     0.10718   3.077396210e-10
     0.10732   1.799693400e-10
     0.10747   1.975524809e-10
     0.10761   5.434312045e-10
     0.10775   1.834210642e-10
     0.10790   3.250426242e-10
     0.10804   1.558517057e-10
     0.10818   4.101650269e-10
     0.10833   4.521183161e-10
     0.10847   4.801641341e-10
     0.10862   4.234918987e-10
     0.10876   8.416052714e-10
     0.10891   7.061713177e-10
     0.10905   7.271712334e-10
     0.10920   6.672653325e-10
     0.10934   9.359611794e-10
     0.10949   9.291429153e-10
     0.10964   9.543140212e-10
     0.10978   4.558221797e-10
     0.10993   8.654440284e-10
     0.11008   5.431849304e-10
     0.11022   1.373385125e-09
     0.11037   1.507706416e-09
     0.11052   1.611225959e-09
     0.11066   1.089317997e-09
     0.11081   6.159481719e-10
     0.11096   1.047794629e-09
     0.11111   1.906486223e-09
     0.11126   1.788605564e-09
     0.11140   1.286294814e-09
     0.11155   1.026276462e-09
     0.11170   1.610570877e-09
     0.11185   1.504505784e-09
     0.11200   2.383984276e-09
     0.11215   1.749269779e-09
     0.11230   2.954415066e-09
     0.11245   2.474742931e-09
     0.11260   3.516007602e-09
     0.11275   1.786175666e-09
     0.11290   3.659680137e-09
     0.11305   2.820074623e-09
     0.11320   3.526254931e-09
     0.11335   4.318598604e-09
     0.11350   2.418607545e-09
     0.11366   3.170597529e-09
     0.11381   3.904129289e-09
     0.11396   1.278131781e-09
     0.11411   3.776966526e-09
     0.11426   4.976087301e-09
     0.11442   4.197423652e-09
     0.11457   4.572288820e-09
     0.11472   4.551040221e-09
     0.11487   4.217593493e-09
     0.11503   3.579187123e-09
     0.11518   3.402131127e-09
     0.11533   5.211386589e-09
     0.11549   4.585997537e-09
     0.11564   4.232008392e-09
     0.11580   4.424167731e-09
     0.11595   3.481045937e-09
     0.11611   3.326736796e-09
     0.11626   3.726163751e-09
     0.11642   3.995915295e-09
     0.11657   3.011155850e-09
     0.11673   3.651684899e-09
     0.11688   4.305235349e-09
     0.11704   3.275938254e-09
     0.11719   3.719378169e-09
     0.11735   4.371585613e-09
     0.11751   5.494671559e-09
     0.11766   6.170480666e-09
     0.11782   8.311968149e-09
     0.11798   6.823850639e-09
     0.11814   6.396616925e-09
     0.11829   8.621788511e-09
     0.11845   7.377585687e-09
     0.11861   6.653803643e-09
     0.11877   6.531368009e-09
     0.11893   7.404862405e-09
     0.11908   6.347470949e-09
     0.11924   7.287073094e-09
     0.11940   6.552790556e-09
     0.11956   1.967867188e-08
     0.11972   2.817174591e-08
     0.11988   3.559934707e-08
     0.12004   2.957635293e-08
     0.12020   2.430524879e-08
     0.12036   3.121224797e-08
     0.12052   3.638565878e-08
     0.12068   2.338838710e-08
     0.12084   3.110426641e-08
     0.12101   1.688998544e-08
     0.12117   1.325620161e-08
     0.12133   5.881798434e-09
     0.12149   2.605408561e-09
     0.12165   1.344706198e-09
     0.12182   6.010608107e-09
     0.12198   1.106138101e-08
     0.12214   2.826529914e-08
     0.12230   4.396326711e-08
     0.12247   4.912510636e-08
     0.12263   6.278705901e-08
     0.12279   5.809475124e-08
     0.12296   7.112282023e-08
     0.12312   9.268201559e-08
     0.12329   9.798138242e-08
     0.12345   9.365142159e-08
     0.12361   9.322697787e-08
     0.12378   1.316879053e-07
     0.12394   1.207419092e-07
     0.12411   8.839433921e-08
     0.12428   1.087692204e-07
     0.12444   1.517967488e-07
     0.12461   1.597470792e-07
     0.12477   1.311353307e-07
     0.12494   1.400091632e-07
     0.12511   1.754048555e-07
     0.12527   1.755117037e-07
     0.12544   1.700606676e-07
     0.12561   1.391773343e-07
     0.12578   1.462869363e-07
     0.12594   2.055500770e-07
     0.12611   1.757587595e-07
     0.12628   1.765850749e-07
     0.12645   2.590704558e-07
     0.12662   1.840816043e-07
     0.12679   2.418365749e-07
     0.12696   2.507710026e-07
     0.12712   2.347009950e-07
     0.12729   2.557557279e-07
     0.12746   2.785471152e-07
     0.12763   2.572613964e-07
     0.12780   2.864500089e-07
     0.12798   2.853172031e-07
     0.12815   3.161073349e-07
     0.12832   4.008568201e-07
     0.12849   3.467068024e-07
     0.12866   2.745225941e-07
     0.12883   3.940772299e-07
     0.12900   4.233594761e-07
     0.12918   4.649553343e-07
     0.12935   3.256808781e-07
     0.12952   5.608002948e-07
     0.12969   6.020986548e-07
     0.12987   5.876487472e-07
     0.13004   5.968674459e-07
     0.13021   5.905621869e-07
     0.13039   6.598360370e-07
     0.13056   6.648871817e-07
     0.13073   7.089673488e-07
     0.13091   8.017369783e-07
     0.13108   7.994294682e-07
     0.13126   8.205261795e-07
     0.13143   6.575427630e-07
     0.13161   7.481070457e-07
     0.13178   7.293980750e-07
     0.13196   8.187298452e-07
     0.13214   7.945805722e-07
     0.13231   8.261262670e-07
     0.13249   7.857569343e-07
     0.13267   8.823363241e-07
     0.13284   1.025691171e-06
     0.13302   8.749979838e-07
     0.13320   8.475604010e-07
     0.13338   1.109771495e-06
     0.13355   1.136982256e-06
     0.13373   1.423372056e-06
     0.13391   1.076571149e-06
     0.13409   1.537213572e-06
     0.13427   1.341106019e-06
     0.13445   1.554296960e-06
     0.13463   1.564606994e-06
     0.13481   1.578904507e-06
     0.13499   1.612642417e-06
     0.13517   1.876077584e-06
     0.13535   2.070397316e-06
     0.13553   2.041458197e-06
     0.13571   1.855125248e-06
     0.13589   2.231496282e-06
     0.13607   2.153533041e-06
     0.13625   2.118064194e-06
     0.13643   2.180097903e-06
     0.13662   2.187763344e-06
     0.13680   2.595596106e-06
     0.13698   2.546088684e-06
     0.13716   2.316630120e-06
     0.13735   2.732407904e-06
     0.13753   2.886752741e-06
     0.13771   3.212328185e-06
     0.13790   3.377938209e-06
     0.13808   3.424799927e-06
     0.13826   3.909543316e-06
     0.13845   4.062336728e-06
     0.13863   4.244933314e-06
     0.13882   4.589847140e-06
     0.13900   5.000166472e-06
     0.13919   5.240224869e-06
     0.13938   4.831953735e-06
     0.13956   5.282624055e-06
     0.13975   6.338271535e-06
     0.13993   6.589123685e-06
     0.14012   6.392937031e-06
     0.14031   6.615570779e-06
     0.14049   7.283604244e-06
     0.14068   6.925942984e-06
     0.14087   7.109825760e-06
     0.14106   6.814668027e-06
     0.14125   7.926110922e-06
     0.14143   7.613168898e-06
     0.14162   9.227389194e-06
     0.14181   8.098078141e-06
     0.14200   1.048499997e-05
     0.14219   1.094589211e-05
     0.14238   1.094700915e-05
     0.14257   1.208831098e-05
     0.14276   1.265069742e-05
     0.14295   1.289403116e-05
     0.14314   1.328771735e-05
     0.14333   1.105459512e-05
     0.14352   1.366863579e-05
     0.14372   1.470153701e-05
     0.14391   1.512506796e-05
     0.14410   1.441109994e-05
     0.14429   1.545394542e-05
     0.14448   1.456749753e-05
     0.14468   1.782049480e-05
     0.14487   1.645836216e-05
     0.14506   1.922004087e-05
     0.14526   1.887684428e-05
     0.14545   1.975241416e-05
     0.14564   2.225382422e-05
     0.14584   2.261686769e-05
     0.14603   2.398554657e-05
     0.14623   2.475330446e-05
     0.14642   2.489337816e-05
     0.14662   2.663182716e-05
     0.14681   2.422483102e-05
     0.14701   2.436336659e-05
     0.14721   2.724852127e-05
     0.14740   2.589733124e-05
     0.14760   3.171985226e-05
     0.14780   2.990418305e-05
     0.14799   3.443663310e-05
     0.14819   3.477888806e-05
     0.14839   3.669990402e-05
     0.14859   3.778004183e-05
     0.14879   3.887801464e-05
     0.14898   4.059930858e-05
     0.14918   4.287634851e-05
     0.14938   4.387003112e-05
     0.14958   4.518072640e-05
     0.14978   4.698083178e-05
     0.14998   4.922238924e-05
     0.15018   5.030268454e-05
     0.15038   5.283142137e-05
     0.15058   5.475076645e-05
     0.15078   5.668643501e-05
     0.15098   5.887567325e-05
     0.15118   6.053635862e-05
     0.15139   6.235985888e-05
     0.15159   6.521667699e-05
     0.15179   6.040234710e-05
     0.15199   7.101097888e-05
     0.15220   9.442388331e-05
     0.15240   1.518277890e-04
     0.15260   3.224135239e-04
     0.15281   4.662385319e-04
     0.15301   4.478926808e-04
     0.15321   4.787077063e-04
     0.15342   4.287743306e-04
     0.15362   4.440836561e-04
     0.15383   4.466723739e-04
     0.15403   4.138873235e-04
     0.15424   5.926045632e-04
     0.15444   4.983380336e-04
     0.15465   4.386850413e-04
     0.15486   3.663340970e-04
     0.15506   4.336108449e-04
     0.15527   5.270238053e-04
     0.15548   4.725648774e-04
     0.15569   6.382818929e-04
     0.15589   5.248459122e-04
     0.15610   5.184625296e-04
     0.15631   8.656727489e-04
     0.15652   1.315425490e-03
     0.15673   1.471616984e-03
     0.15694   2.110224471e-03
     0.15715   2.175843730e-03
     0.15735   2.191821178e-03
     0.15756   2.326785373e-03
     0.15778   2.647046174e-03
     0.15799   2.578965402e-03
     0.15820   2.344930439e-03
     0.15841   2.519559936e-03
     0.15862   1.981636713e-03
     0.15883   1.970805893e-03
     0.15904   2.507834033e-03
     0.15925   2.434965825e-03
     0.15947   2.520034935e-03
     0.15968   2.635675923e-03
     0.15989   3.227024328e-03
     0.16011   2.653886844e-03
     0.16032   2.509677283e-03
     0.16053   2.168144134e-03
     0.16075   2.322537459e-03
     0.16096   1.512530390e-03
     0.16118   1.923019122e-03
     0.16139   2.885098038e-03
     0.16161   2.681136214e-03
     0.16182   3.561806008e-03
     0.16204   3.744651701e-03
     0.16226   6.333854361e-03
     0.16247   5.310927687e-03
     0.16269   2.334249743e-03
     0.16291   3.081980962e-03
     0.16312   5.245642159e-03
     0.16334   5.298810719e-03
     0.16356   5.765417545e-03
     0.16378   8.048908342e-03
     0.16400   8.926668012e-03
     0.16421   7.035132743e-03
     0.16443   1.315031486e-02
     0.16465   9.614991188e-03
     0.16487   6.865921280e-03
     0.16509   8.560016868e-03
     0.16531   9.233559972e-03
     0.16553   1.272909554e-02
     0.16575   1.145424200e-02
     0.16597   1.391892179e-02
     0.16620   1.406098360e-02
     0.16642   1.787969254e-02
     0.16664   1.168324663e-02
     0.16686   8.608671101e-03
     0.16709   4.239139377e-03
     0.16731   4.086629481e-03
     0.16753   6.161236377e-03
     0.16775   7.800973098e-03
     0.16798   1.123096990e-02
     0.16820   9.455067076e-03
     0.16843   3.614378667e-02
     0.16865   2.106489290e-02
     0.16888   2.830033333e-02
     0.16910   2.585370214e-02
     0.16933   2.224862368e-02
     0.16955   2.070844034e-02
     0.16978   3.939785918e-02
     0.17001   1.513130635e-02
     0.17023   1.115118298e-02
     0.17046   2.095038134e-02
     0.17069   3.636642991e-02
     0.17092   3.665540529e-02
     0.17114   5.379476420e-02
     0.17137   8.889908903e-02
     0.17160   4.769601256e-02
     0.17183   4.037306748e-02
     0.17206   5.096097240e-02
     0.17229   5.865134906e-02
     0.17252   7.417831439e-02
     0.17275   5.176169212e-02
     0.17298   7.403859057e-02
     0.17321   5.048438805e-02
     0.17344   4.384806346e-02
     0.17367   4.824747089e-02
     0.17390   5.414303390e-02
     0.17414   5.374317401e-02
     0.17437   1.022055948e-01
     0.17460   7.389348619e-02
     0.17483   8.197208990e-02
     0.17507   8.977097072e-02
     0.17530   9.141570939e-02
     0.17553   1.164030673e-01
     0.17577   1.329318603e-01
     0.17600   1.523501373e-01
     0.17624   1.432395250e-01
     0.17647   1.318581229e-01
     0.17671   2.056426462e-01
     0.17694   1.786711303e-01
     0.17718   1.673602674e-01
     0.17742   1.965833236e-01
     0.17765   1.775496644e-01
     0.17789   2.160741515e-01
     0.17813   2.349785959e-01
     0.17837   2.529537488e-01
     0.17860   2.514120109e-01
     0.17884   3.231354169e-01
     0.17908   2.644585376e-01
     0.17932   2.431576547e-01
     0.17956   3.441757074e-01
     0.17980   3.141538360e-01
     0.18004   3.616516110e-01
     0.18028   4.361736061e-01
     0.18052   3.907140554e-01
     0.18076   3.543001120e-01
     0.18100   3.535889343e-01
     0.18124   3.387444392e-01
     0.18148   3.356047767e-01
     0.18173   4.292646078e-01
     0.18197   4.094783257e-01
     0.18221   4.160305460e-01
     0.18246   3.565743470e-01
     0.18270   3.653794390e-01
     0.18294   3.489325321e-01
     0.18319   3.642319579e-01
     0.18343   3.093150180e-01
     0.18368   3.061833572e-01
     0.18392   2.435633674e-01
     0.18417   1.914811227e-01
     0.18441   2.837938349e-01
     0.18466   1.630655383e-01
     0.18490   1.954239774e-01
     0.18515   2.043526706e-01
     0.18540   2.699361178e-01
     0.18565   2.234437517e-01
     0.18589   3.162589907e-01
     0.18614   3.489941969e-01
     0.18639   3.878497679e-01
     0.18664   4.006701251e-01
     0.18689   5.096389804e-01
     0.18714   4.842292574e-01
     0.18739   4.210941383e-01
     0.18764   4.281353586e-01
     0.18789   3.909857588e-01
     0.18814   4.538852587e-01
     0.18839   4.831471225e-01
     0.18864   5.578135159e-01
     0.18889   5.689008505e-01
     0.18914   6.139394906e-01
     0.18940   5.742774834e-01
     0.18965   6.405307135e-01
     0.18990   6.023267080e-01
     0.19015   8.363939560e-01
     0.19041   9.475795268e-01
     0.19066   1.055840714e+00
     0.19092   1.147152552e+00
     0.19117   1.177129800e+00
     0.19143   1.270392018e+00
     0.19168   1.262639403e+00
     0.19194   1.006208172e+00
     0.19219   7.505430567e-01
     0.19245   5.080808112e-01
     0.19271   5.863056757e-01
     0.19296   4.365210715e-01
     0.19322   7.068611484e-01
     0.19348   6.667655878e-01
     0.19374   5.057202817e-01
     0.19400   3.887048832e-01
     0.19425   5.877568933e-01
     0.19451   3.912156342e-01
     0.19477   6.675236721e-01
     0.19503   8.299858523e-01
     0.19529   1.007520811e+00
     0.19555   1.096362180e+00
     0.19581   1.214040552e+00
     0.19608   1.136841713e+00
     0.19634   1.570901566e+00
     0.19660   1.650594080e+00
     0.19686   1.410665234e+00
     0.19712   1.850961433e+00
     0.19739   1.558639764e+00
     0.19765   1.489222280e+00
     0.19791   1.705552921e+00
     0.19818   1.916336418e+00
     0.19844   2.116693184e+00
     0.19871   2.355563381e+00
     0.19897   2.304062921e+00
     0.19924   2.524554336e+00
     0.19950   2.795472878e+00
     0.19977   2.860198045e+00
     0.20004   2.910607965e+00
     0.20030   3.002997334e+00
     0.20057   2.947280641e+00
     0.20084   2.724307898e+00
     0.20111   2.719622004e+00
     0.20138   2.828565871e+00
     0.20164   2.889248157e+00
     0.20191   3.051965437e+00
     0.20218   2.594565186e+00
     0.20245   2.407991916e+00
     0.20272   2.335147200e+00
     0.20299   2.510976232e+00
     0.20326   2.350295286e+00
     0.20353   2.120708285e+00
     0.20381   2.610819591e+00
     0.20408   2.822743445e+00
     0.20435   3.022993764e+00
     0.20462   3.627586406e+00
     0.20490   3.893638784e+00
     0.20517   4.344914336e+00
     0.20544   4.247363888e+00
     0.20572   4.733961467e+00
     0.20599   4.558382138e+00
     0.20627   4.785541049e+00
     0.20654   5.582521580e+00
     0.20682   8.287474513e+00
     0.20709   1.144545912e+01
     0.20737   1.289618862e+01
     0.20765   1.518093269e+01
     0.20792   1.449263024e+01
     0.20820   1.458405068e+01
     0.20848   1.324188506e+01
     0.20876   1.216210343e+01
     0.20904   1.635882566e+01
     0.20931   1.292187225e+01
     0.20959   1.073464405e+01
     0.20987   1.026121597e+01
     0.21015   1.006858656e+01
     0.21043   7.670307056e+00
     0.21071   9.465510468e+00
     0.21100   7.311871274e+00
     0.21128   1.415700792e+01
     0.21156   6.587632253e+00
     0.21184   9.853375662e+00
     0.21212   1.130095476e+01
     0.21241   1.081447128e+01
     0.21269   1.431876243e+01
     0.21297   1.300443056e+01
     0.21326   1.767808130e+01
     0.21354   1.585180282e+01
     0.21383   1.436677686e+01
     0.21411   1.523065656e+01
     0.21440   1.109708177e+01
     0.21468   8.466145572e+00
     0.21497   6.581827353e+00
     0.21526   8.167166860e+00
     0.21555   1.004037761e+01
     0.21583   1.170266596e+01
     0.21612   1.222177948e+01
     0.21641   1.283218398e+01
     0.21670   1.641562754e+01
     0.21699   1.666169199e+01
     0.21728   1.531392119e+01
     0.21757   2.132113852e+01
     0.21786   1.388008351e+01
     0.21815   1.167224843e+01
     0.21844   1.190115988e+01
     0.21873   1.872108643e+01
     0.21902   3.033282068e+01
     0.21931   2.835366174e+01
     0.21961   3.146645714e+01
     0.21990   2.421703657e+01
     0.22019   2.572584324e+01
     0.22049   1.969881620e+01
     0.22078   2.723431799e+01
     0.22108   2.014102435e+01
     0.22137   2.276215704e+01
     0.22167   1.894322299e+01
     0.22196   1.771055287e+01
     0.22226   1.585453245e+01
     0.22255   2.435664716e+01
     0.22285   2.112008026e+01
     0.22315   2.870068027e+01
     0.22345   2.887017731e+01
     0.22374   2.920262005e+01
     0.22404   3.681844768e+01
     0.22434   5.017348066e+01
     0.22464   6.302847701e+01
     0.22494   7.083810374e+01
     0.22524   6.227687527e+01
     0.22554   4.974308885e+01
     0.22584   3.378816024e+01
     0.22614   2.258233594e+01
     0.22645   1.727479236e+01
     0.22675   1.338314865e+01
     0.22705   2.208800096e+01
     0.22735   1.895490755e+01
     0.22766   1.772117183e+01
     0.22796   2.406351601e+01
     0.22826   2.959436611e+01
     0.22857   3.406437022e+01
     0.22887   4.253771857e+01
     0.22918   5.410513062e+01
     0.22948   6.099724824e+01
     0.22979   5.069577311e+01
     0.23010   3.347506010e+01
     0.23040   3.536578558e+01
     0.23071   4.179279070e+01
     0.23102   5.008538538e+01
     0.23133   4.970390495e+01
     0.23164   5.926074498e+01
     0.23195   5.305472019e+01
     0.23226   4.987353195e+01
     0.23257   6.089119623e+01
     0.23288   6.703802164e+01
     0.23319   5.521002850e+01
     0.23350   8.964607191e+01
     0.23381   5.559356053e+01
     0.23412   7.482281980e+01
     0.23443   4.664917815e+01
     0.23475   4.187381204e+01
     0.23506   4.779133981e+01
     0.23537   6.420651438e+01
     0.23569   5.486807067e+01
     0.23600   5.821941384e+01
     0.23632   6.181680434e+01
     0.23663   5.000533090e+01
     0.23695   5.297937307e+01
     0.23726   4.315555087e+01
     0.23758   7.451568527e+01
     0.23790   4.536198654e+01
     0.23821   3.732266882e+01
     0.23853   7.060413878e+01
     0.23885   9.998625649e+01
     0.23917   5.538831089e+01
     0.23949   7.865109688e+01
     0.23981   1.291955158e+02
     0.24013   1.056598307e+02
     0.24045   1.283832933e+02
     0.24077   1.124263778e+02
     0.24109   1.141777029e+02
     0.24141   9.393636930e+01
     0.24173   1.134988259e+02
     0.24206   8.726026962e+01
     0.24238   1.093883919e+02
     0.24270   9.654691342e+01
     0.24303   9.259981895e+01
     0.24335   1.048312541e+02
     0.24368   9.184289212e+01
     0.24400   9.287735629e+01
     0.24433   1.636670384e+02
     0.24465   2.216265378e+02
     0.24498   1.947785551e+02
     0.24531   2.642244026e+02
     0.24563   3.036423849e+02
     0.24596   2.068771654e+02
     0.24629   1.980788472e+02
     0.24662   2.428395291e+02
     0.24695   2.165835022e+02
     0.24728   2.055247428e+02
     0.24761   2.248431280e+02
     0.24794   1.931506407e+02
     0.24827   1.465018726e+02
     0.24860   1.404701028e+02
     0.24893   9.260537198e+01
     0.24926   9.014706228e+01
     0.24959   1.151844465e+02
     0.24993   1.172578634e+02
     0.25026   8.985772469e+01
     0.25059   1.179021426e+02
     0.25093   1.204480848e+02
     0.25126   9.118672182e+01
     0.25160   9.039520369e+01
     0.25193   1.010699515e+02
     0.25227   1.190698145e+02
     0.25261   1.501999892e+02
     0.25294   1.075247627e+02
     0.25328   2.205216987e+02
     0.25362   2.275448589e+02
     0.25396   2.513594825e+02
     0.25430   2.430820026e+02
     0.25464   2.524580481e+02
     0.25498   2.830298846e+02
     0.25532   3.995575916e+02
     0.25566   3.009081277e+02
     0.25600   2.843371238e+02
     0.25634   2.613352324e+02
     0.25668   3.602952497e+02
     0.25702   3.552961106e+02
     0.25737   4.014113384e+02
     0.25771   3.247501126e+02
     0.25805   4.565765099e+02
     0.25840   4.823726855e+02
     0.25874   5.205353656e+02
     0.25909   4.975426528e+02
     0.25943   7.334519031e+02
     0.25978   7.341441672e+02
     0.26013   6.353153870e+02
     0.26047   5.944143198e+02
     0.26082   4.292196768e+02
     0.26117   5.043334951e+02
     0.26152   3.174801877e+02
     0.26187   5.143625360e+02
     0.26222   6.687606156e+02
     0.26257   4.351397425e+02
     0.26292   4.768822610e+02
     0.26327   5.994787271e+02
     0.26362   1.130460327e+03
     0.26397   2.545981268e+03
     0.26432   1.786039262e+03
     0.26468   1.701062136e+03
     0.26503   2.044973930e+03
     0.26538   1.305779162e+03
     0.26574   1.143516662e+03
     0.26609   7.751852750e+02
     0.26645   1.226987004e+03
     0.26680   8.224570787e+02
     0.26716   9.551886599e+02
     0.26751   1.347458834e+03
     0.26787   1.477450482e+03
     0.26823   1.265144208e+03
     0.26859   1.788411465e+03
     0.26894   1.365398973e+03
     0.26930   1.515465344e+03
     0.26966   7.226561625e+02
     0.27002   9.967609877e+02
     0.27038   1.035306341e+03
     0.27074   1.183884966e+03
     0.27110   1.309991934e+03
     0.27147   9.531995231e+02
     0.27183   6.859412320e+02
     0.27219   8.182045783e+02
     0.27255   8.356287237e+02
     0.27292   1.366590075e+03
     0.27328   1.113017094e+03
     0.27365   9.605106213e+02
     0.27401   1.264530245e+03
     0.27438   9.779525088e+02
     0.27474   1.408447166e+03
     0.27511   1.208372671e+03
     0.27548   1.344408496e+03
     0.27584   1.302835389e+03
     0.27621   1.488336833e+03
     0.27658   2.221539016e+03
     0.27695   1.201293042e+03
     0.27732   1.428696211e+03
     0.27769   1.325500075e+03
     0.27806   8.857800088e+02
     0.27843   1.184041528e+03
     0.27880   1.106216339e+03
     0.27917   1.022176680e+03
     0.27955   5.825708608e+02
     0.27992   7.475822607e+02
     0.28029   7.857705262e+02
     0.28067   1.352096732e+03
     0.28104   1.966936339e+03
     0.28142   1.867574961e+03
     0.28179   1.776700691e+03
     0.28217   2.272575125e+03
     0.28254   1.970647292e+03
     0.28292   2.082041145e+03
     0.28330   1.951397485e+03
     0.28368   1.675949604e+03
     0.28406   1.444341666e+03
     0.28443   1.205539956e+03
     0.28481   8.431191059e+02
     0.28519   4.687916150e+02
     0.28557   7.902814118e+02
     0.28596   1.234855689e+03
     0.28634   1.685116381e+03
     0.28672   2.138098230e+03
     0.28710   2.614049893e+03
     0.28748   2.911178914e+03
     0.28787   3.706066491e+03
     0.28825   3.955191253e+03
     0.28864   5.319825954e+03
     0.28902   5.099639114e+03
     0.28941   4.718359515e+03
     0.28979   6.151475581e+03
     0.29018   6.114715999e+03
     0.29057   6.223880397e+03
     0.29096   6.943063609e+03
     0.29134   4.723316013e+03
     0.29173   8.065338617e+03
     0.29212   1.048068214e+04
     0.29251   7.631591054e+03
     0.29290   5.622232136e+03
     0.29329   6.423477976e+03
     0.29368   3.714703821e+03
     0.29408   3.521725794e+03
     0.29447   4.302874160e+03
     0.29486   3.471748473e+03
     0.29525   5.240338521e+03
     0.29565   3.122249421e+03
     0.29604   4.854317146e+03
     0.29644   5.893097178e+03
     0.29683   3.288663633e+03
     0.29723   3.768835737e+03
     0.29763   5.586623719e+03
     0.29802   6.928155866e+03
     0.29842   2.989957594e+03
     0.29882   3.711047744e+03
     0.29922   5.390079097e+03
     0.29962   2.715002114e+03
     0.30002   5.214158345e+03
     0.30042   7.414941930e+03
     0.30082   1.010685490e+04
     0.30122   1.306836372e+04
     0.30162   1.375334536e+04
     0.30202   1.092122125e+04
     0.30243   1.058571753e+04
     0.30283   1.059178953e+04
     0.30323   1.040899362e+04
     0.30364   9.124390638e+03
     0.30404   6.934006198e+03
     0.30445   6.320262981e+03
     0.30486   4.393726684e+03
     0.30526   6.132083543e+03
     0.30567   8.319712852e+03
     0.30608   1.186355641e+04
     0.30649   1.904314972e+04
     0.30689   2.372335173e+04
     0.30730   2.966819789e+04
     0.30771   2.039547714e+04
     0.30812   1.440815054e+04
     0.30854   1.518900279e+04
     0.30895   1.009360390e+04
     0.30936   5.455756459e+03
     0.30977   8.967036683e+03
     0.31019   8.720557023e+03
     0.31060   1.810188877e+04
     0.31101   2.915616414e+04
     0.31143   3.053982637e+04
     0.31184   2.207609481e+04
     0.31226   2.133170742e+04
     0.31268   2.151699869e+04
     0.31309   2.603686621e+04
     0.31351   1.183844624e+04
     0.31393   1.771003767e+04
     0.31435   1.444555524e+04
     0.31477   1.802842192e+04
     0.31519   4.343137599e+04
     0.31561   3.637496261e+04
     0.31603   3.295041043e+04
     0.31645   5.221373827e+04
     0.31687   5.376090791e+04
     0.31730   6.119298664e+04
     0.31772   5.076466714e+04
     0.31814   2.653113177e+04
     0.31857   1.571496311e+04
     0.31899   3.500197458e+04
     0.31942   1.835262029e+04
     0.31985   2.584968260e+04
     0.32027   3.765867595e+04
     0.32070   4.919127825e+04
     0.32113   2.795872332e+04
